"stories_id","language","title","publish_date","url"
"435987565","en","Don't call Anders Breivik a terrorist - he is a sad fantasist leading an army of one","2016-03-17 11:53:35","http://telegraph.feedsportal.com/c/32726/f/568324/s/4e554bc5/sc/13/l/0L0Stelegraph0O0Cnews0Cworldnews0Ceurope0Cnorway0C121966160CDont0Ecall0EAnders0EBreivik0Ea0Eterrorist0Ehe0Eis0Ea0Esad0Efantasist0Eleading0Ean0Earmy0Eof0Eone0Bhtml/story01.htm"
"436505286","en","AVOIDING THE OBVIOUS?  Despite ISIS links, FBI not calling college attack terror","2016-03-18 15:29:43","http://www.foxnews.com/us/2016/03/18/fbi-findings-in-calif-stabbing-attack-continue-pattern-downplaying-terror-say-critics.html"
"437774883","en","US steps up security amid fears of Brussels copycat attacks","2016-03-22 17:51:45","http://www.sfgate.com/news/article/Homeland-Security-No-specific-credible-threat-6959620.php"
"437995799","en","
	US counterterrorism experts claim Belgian security services are 's*****'
      ","2016-03-23 09:11:46","http://www.dailymail.co.uk/news/article-3505737/US-counterterrorism-experts-claim-Belgian-security-services-s-like-children-failure-stop-jihadi-strikes.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490"
"439670699","en","Long Before Brussels, ISIS Sent Terror Operatives to Europe","2016-03-29 03:00:38","http://rss.nytimes.com/c/34625/f/642565/s/4e9224d5/sc/7/l/0L0Snytimes0N0C20A160C0A30C290Cworld0Ceurope0Cisis0Eattacks0Eparis0Ebrussels0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm"
"439807859","en","The Ted Cruz solution won't stop terrorism in the U.S.","2016-03-29 11:26:00","http://feeds.chicagotribune.com/~r/chicagotribune/opinion/~3/6SJ6g3fMwbc/story01.htm"
"440331206","en","Islamic State list targets New Jersey Transit officers","2016-03-30 04:59:43","http://rssfeeds.usatoday.com/~/146848240/0/usatoday-newstopstories~Islamic-State-list-targets-New-Jersey-Transit-officers/"
"440612224","en","ISIS supporters reportedly leak personal info of NJ Transit officers","2016-03-31 17:16:49","http://www.cbsnews.com/news/isis-supporters-leak-personal-information-of-new-jersey-transit-officers-wcbs-reports/"
"446582982","en","
	Competency hearing set in Ohio for Capitol plot suspect
      ","2016-04-18 01:22:54","http://www.dailymail.co.uk/wires/ap/article-3545240/Competency-hearing-set-Ohio-Capitol-plot-suspect.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490"
"446591005","en","Competency hearing set in Ohio for Capitol plot suspect","2016-04-18 01:21:07","http://www.usnews.com/news/us/articles/2016-04-18/competency-hearing-set-in-ohio-for-capitol-plot-suspect"
"446589588","en","Competency hearing set in Ohio for Capitol plot suspect","2016-04-18 01:21:07","http://www.sfgate.com/news/crime/article/Competency-hearing-set-in-Ohio-for-Capitol-plot-7254360.php"
"449365591","en","This is what happens when you bury a mass murderer in a small town","2016-04-22 15:12:41","https://www.washingtonpost.com/opinions/this-is-what-happens-when-you-bury-a-mass-murderer-in-a-small-town/2016/04/22/9eabe4e4-067b-11e6-bdcb-0133da18418d_story.html"
"430512613","en","Tunisia hotel attack: Grieving families of 30 Britons killed in massacre 'are likely to SUE Thomson Holidays'","2016-03-01 14:36:33","http://www.mirror.co.uk/news/world-news/tunisia-hotel-attack-grieving-families-7472014"
"459717220","en","
	Australia says most dangerous Australian IS operative killed
      ","2016-05-04 20:35:34","http://www.dailymail.co.uk/wires/ap/article-3574288/Australia-says-dangerous-Australian-IS-operative-killed.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490"
"459718637","en","Australia says most dangerous Australian IS operative killed","2016-05-04 20:33:11","http://www.sfgate.com/news/article/Australia-says-most-dangerous-Australian-IS-7394009.php"
"459719198","en","Australia says most dangerous Australian IS operative killed","2016-05-04 20:47:58","https://www.washingtonpost.com/world/the_americas/australia-says-most-dangerous-australian-is-operative-killed/2016/05/04/4802550a-1257-11e6-a9b5-bf703a5a7191_story.html"
"459834629","en","Australia: Dangerous ISIL operative killed","2016-05-05 01:33:10","http://rssfeeds.usatoday.com/~/152962388/0/usatoday-newstopstories~Australia-Dangerous-ISIL-operative-killed/"
"461917685","en","Live: Clinton, Sanders, O'Malley face off in fourth debate","2016-01-17 21:45:52","http://rssfeeds.freep.com/~/133397641/0/freep/home~Live-Clinton-Sanders-OMalley-face-off-in-fourth-debate/"
"462282889","en","Twitter Calls Out Media and Police Double Standards After Deadly Kalamazoo Shooting","2016-02-21 10:09:38","http://mic.com/articles/135805/twitter-calls-out-media-and-police-double-standards-after-deadly-kalamazoo-shooting"
"463205707","en","Islamic State How-to Guide Tells Would-Be Jihadists to Wear ‘Christian Cross’ Necklaces to Avoid Getting Caught","2016-01-13 13:48:25","http://www.theblaze.com/stories/2016/01/13/islamic-state-how-to-guide-tells-would-be-jihadists-to-wear-christian-cross-necklaces-to-avoid-getting-caught/?utm_source=TheBlaze.com&utm_medium=rss&utm_campaign=story&utm_content=islamic-state-how-to-guide-tells-would-be-jihadists-to-wear-christian-cross-necklaces-to-avoid-getting-caught"
"463780389","en","David Petraeus: Anti-Muslim bigotry aids Islamist terrorists","2016-05-13 02:32:26","https://www.washingtonpost.com/opinions/david-petraeus-anti-muslim-bigotry-aids-islamist-terrorists/2016/05/12/5ab50740-16aa-11e6-924d-838753295f9a_story.html"
"466611582","en","ISIS 'plans special forces-style' attacks","2016-01-26 13:01:44","http://rss.cnn.com/c/35492/f/676965/s/4d257284/sc/13/l/0L0Scnn0N0C20A160C0A10C260Cworld0Cisis0Eattacks0Eeurope0Cindex0Bhtml0Deref0Frss0Iworld/story01.htm"
"467887169","en","
	FBI: Sydney siege gunman had raised incitement concerns
      ","2016-05-18 03:06:51","http://www.dailymail.co.uk/wires/ap/article-3596234/FBI-Sydney-siege-gunman-raised-incitement-concerns.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490"
"467905547","en","FBI: Sydney siege gunman had raised incitement concerns","2016-05-18 03:58:38","http://www.sfgate.com/news/article/FBI-Sydney-siege-gunman-had-raised-incitement-7589602.php"
