term,stem,count,sample_size,ratio,google_w2v_x,google_w2v_y
"immigration","immigr",9418,10000,0.9418,-0.424626702968,1.69133298605
"eu","eu",1769,10000,0.1769,2.05555403428,0.465764680628
"brexit","brexit",1708,10000,0.1708,,
"uk","uk",1143,10000,0.1143,2.14879323531,-0.177776932597
"britain","britain",943,10000,0.0943,1.83590216952,0.563799826134
"anti-immigrant","anti-immigr",644,10000,0.0644,,
"european","european",626,10000,0.0626,2.01520212786,0.147678231424
"minister","minist",570,10000,0.057,-0.546069812736,0.538541894147
"trump","trump",514,10000,0.0514,-0.289040853144,-0.628332715787
"british","british",470,10000,0.047,2.07921401683,0.0663874236747
"election","elect",374,10000,0.0374,-0.668597426127,0.94604259145
"economic","econom",357,10000,0.0357,-0.579190095003,0.453420659406
"campaign","campaign",356,10000,0.0356,-0.655760167554,-0.054487589368
"economy","economi",345,10000,0.0345,-0.602016880829,0.614558935625
"europe","europ",336,10000,0.0336,2.2562283318,0.0795075578957
"theresa","theresa",304,10000,0.0304,0.585247098946,-0.272297002082
"referendum","referendum",296,10000,0.0296,-0.68426296958,0.888994240588
"migration","migrat",293,10000,0.0293,-0.191785647738,0.447824560797
"conservative","conserv",261,10000,0.0261,-0.603990230405,0.434460979689
"illegal","illeg",254,10000,0.0254,-0.36761717283,-0.0422710420069
"nationals","nation",249,10000,0.0249,-0.521371165082,0.777062095343
"migrants","migrant",241,10000,0.0241,-0.499633576767,1.72986514523
"muslim","muslim",233,10000,0.0233,1.18280712484,1.05232671715
"le","le",231,10000,0.0231,1.39479736389,-0.600108907934
"pen","pen",230,10000,0.023,0.0947913880334,-0.357245612696
"france","franc",220,10000,0.022,2.15324553931,-0.026674583393
"post-brexit","post-brexit",214,10000,0.0214,,
"borders","border",213,10000,0.0213,-0.376284763954,0.554617090064
"tory","tori",212,10000,0.0212,1.20500491291,0.338139430412
"customs","custom",209,10000,0.0209,-0.184347780384,0.602851669829
"london","london",204,10000,0.0204,2.26473951573,-0.132522833248
"leader","leader",196,10000,0.0196,-0.536820552522,-0.22797139845
"may's","may",183,10000,0.0183,0.530529516332,-0.223205708808
